HGNC_symbol,HGNC_ID,Ensembl_ID,Ensembl_ID_status,Name_hgnc,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,DBD_lambert,TF_assessment_lambert,InLambert,GO_TF_biomart,InGO_TF,JASPAR_matrix_ids,InJASPAR,Mouse_Symbol,Ensembl_Mouse
AC008770.3,,ENSG00000267179,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
AC023509.3,,ENSG00000267281,lambert,,Lambert TF Census (not in HGNC groups),,,,bZIP,Known motif,Y,,N,,N,,
AC092835.1,,ENSG00000233757,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
AC138696.1,,ENSG00000264668,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Known motif,Y,,N,,N,,
ADNP,,ENSG00000101126,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Likely to be sequence specific TF,Y,GO:0003677;GO:0005634;GO:0046872;GO:0005515;GO:0008270;GO:0005694;GO:0000981;GO:0000785;GO:0010468;GO:0090575;GO:0000977;GO:0006357;GO:0051402;GO:0043524;GO:0003682;GO:0005507;GO:0008013;GO:0042277;GO:0048487;GO:0007614;GO:0009743;GO:0010629;GO:0010976;GO:0019934;GO:0030182;GO:0033484;GO:0044849;GO:0045773;GO:0050805;GO:0051965;GO:0090263;GO:0005615;GO:0030424;GO:0030425;GO:0043025,Y,,N,,
ADNP2,,ENSG00000101544,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Likely to be sequence specific TF,Y,GO:0003677;GO:0005634;GO:0007399;GO:0046872;GO:0005515;GO:0008270;GO:0006357;GO:0000981;GO:0000785;GO:0010468,Y,,N,,
AEBP1,,ENSG00000106624,lambert,,Lambert TF Census (not in HGNC groups),,,,Unknown,Likely to be sequence specific TF,Y,,N,,N,,
AEBP2,,ENSG00000139154,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
AFF3,,ENSG00000144218,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0005634;GO:0010468;GO:0005829;GO:0005654;GO:0003677;GO:0016604;GO:0035116;GO:0034612;GO:0032783;GO:0003690;GO:0003700;GO:0006355,Y,,N,,
AHCTF1,,ENSG00000153207,lambert,,Lambert TF Census (not in HGNC groups),,,,AT hook,Likely to be sequence specific TF,Y,,N,,N,,
AHDC1,,ENSG00000126705,confirmed,,Lambert TF Census (not in HGNC groups),,,,AT hook,Likely to be sequence specific TF,Y,GO:0005634;GO:0003677;GO:0005515;GO:0005694;GO:0030154;GO:0006355;GO:0003700;GO:0001707;GO:0043589;GO:0140585,Y,,N,,
AHR,HGNC:348,ENSG00000106546,confirmed,aryl hydrocarbon receptor,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0005515;GO:0046983;GO:0006805;GO:0009410;GO:0005634;GO:0005737;GO:0006915;GO:0048511;GO:0005829;GO:0003677;GO:0030522;GO:0045893;GO:0042803;GO:0045944;GO:0006357;GO:0046982;GO:0045892;GO:1990837;GO:0003700;GO:0004879;GO:0050728;GO:0070888;GO:0032922;GO:1904613;GO:0000981;GO:0000785;GO:0005654;GO:0009636;GO:0071320;GO:0071219;GO:0000976;GO:0032991;GO:0061629;GO:0051879;GO:0034751;GO:1904322;GO:0060729;GO:0002841;GO:0017025;GO:0002819;GO:0001568;GO:0000987;GO:0034753;GO:0001094;GO:0001223;GO:0010468;GO:0030888;GO:0005667;GO:0034752,Y,,N,,
AHRR,HGNC:346,ENSG00000063438,lambert,aryl hydrocarbon receptor repressor,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,,N,,N,,
AIRE,,ENSG00000160224,lambert,,Lambert TF Census (not in HGNC groups),,,,SAND,Known motif,Y,,N,,N,,
AKAP8,,ENSG00000105127,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
AKAP8L,,ENSG00000011243,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
AKNA,,ENSG00000106948,lambert,,Lambert TF Census (not in HGNC groups),,,,AT hook,Likely to be sequence specific TF,Y,,N,,N,,
ALX1,,ENSG00000180318,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005654;GO:0005794;GO:0005515;GO:0016604;GO:0045893;GO:1990837;GO:0045892;GO:0000977;GO:0000785;GO:0001228;GO:0045944;GO:0048666;GO:0010718;GO:0048704;GO:0000122;GO:0001843;GO:0009952;GO:0014031;GO:0030326;GO:0048864;GO:0060021;GO:0003700;GO:0043565;GO:0005667,Y,,N,,
ALX3,,ENSG00000156150,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0006357;GO:1990837;GO:0000977;GO:0000785;GO:0048666;GO:0007389;GO:0035115;GO:0035116;GO:0042981;GO:0048704,Y,MA0634.1;MA0634.2,Y,,
ALX4,,ENSG00000052850,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005654;GO:0005515;GO:0006357;GO:1990837;GO:0048513;GO:0000977;GO:0000785;GO:0001228;GO:0001501;GO:0048666;GO:0001942;GO:0007389;GO:0007517;GO:0009791;GO:0009952;GO:0035108;GO:0035115;GO:0035116;GO:0042733;GO:0042981;GO:0045944;GO:0048565;GO:0048704;GO:0048705;GO:0060021;GO:0003700;GO:0043565;GO:0071837;GO:0005667,Y,,N,,
ANHX,,ENSG00000227059,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0000978;GO:0006357;GO:0005667;GO:0014857;GO:0048741,Y,,N,,
ANKZF1,,ENSG00000163516,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,,
